tempo,rpmEsquerdo,rpmDireito,corrente
14708,68.48,57.99,180.00
14733,68.48,102.54,180.00
14756,69.41,70.19,180.00
14780,69.41,121.95,180.00
14804,65.71,121.95,180.00
14828,65.71,69.61,180.00
14853,66.71,127.64,180.00
14876,66.71,127.64,180.00
14900,59.35,74.59,180.00
14924,142.05,118.02,180.00
14948,142.05,118.02,180.00
14971,142.05,71.09,180.00
15017,39.44,97.89,180.00
15041,60.57,97.89,180.00
15065,60.57,45.38,181.00
15092,60.57,45.38,180.00
15116,60.57,67.38,180.00
15139,60.57,67.38,180.00
15164,60.57,67.38,180.00
15187,60.57,35.26,180.00
15211,60.57,35.26,180.00
15236,60.57,59.71,180.00
15259,60.57,59.71,180.00
15283,60.57,59.71,180.00
15307,60.57,59.71,180.00
15331,60.57,35.72,180.00
15354,60.57,35.72,180.00
15379,60.57,55.75,180.00
15403,60.57,55.75,180.00
15426,60.57,55.75,180.00
15450,60.57,44.20,180.00
15474,60.57,44.20,180.00
15498,60.57,75.17,180.00
15521,60.57,75.17,180.00
15546,60.57,47.10,180.00
15592,5.42,82.87,180.00
15620,117.22,82.87,180.00
15643,117.22,54.74,180.00
15668,117.22,103.29,180.00
15691,51.84,103.29,181.00
15715,110.98,67.39,181.00
15739,110.98,122.89,180.00
15763,50.43,122.89,181.00
15788,116.75,75.53,180.00
15811,116.75,130.43,181.00
15836,116.75,83.55,180.00
15859,53.59,149.67,181.00
15884,110.52,88.17,181.00
15907,110.52,154.45,181.00
15931,54.85,154.45,181.00
15955,120.62,163.04,181.00
15979,120.62,163.04,181.00
16003,57.02,168.31,181.00
16027,120.99,168.31,181.00
16054,120.99,181.33,181.00
16078,61.60,106.94,181.00
16102,135.14,182.62,181.00
16126,135.14,109.86,181.00
16150,63.23,185.78,181.00
16196,134.82,127.29,181.00
16220,64.55,127.29,181.00
16244,142.23,55.21,181.00
16268,142.23,55.21,181.00
16291,61.42,79.44,181.00
16316,125.42,79.44,181.00
16339,125.42,79.44,181.00
16363,48.51,79.44,181.00
16388,48.51,31.63,181.00
16411,69.32,31.63,181.00
16436,69.32,31.63,181.00
16459,69.32,31.63,182.00
16483,69.32,31.63,181.00
16506,69.32,31.63,182.00
16537,28.34,31.63,182.00
16561,65.21,31.63,182.00
16584,65.21,31.63,182.00
16608,65.21,31.63,182.00
16631,65.21,31.63,182.00
16655,31.96,31.63,182.00
16678,31.96,31.63,182.00
16702,84.08,31.63,182.00
16726,84.08,31.63,182.00
16766,40.43,31.63,182.00
16794,97.82,31.63,182.00
16818,97.82,31.63,182.00
16841,97.82,31.63,182.00
16865,50.61,31.63,182.00
16888,124.17,31.63,182.00
16912,124.17,5.76,182.00
16936,60.01,5.76,182.00
16960,144.26,71.28,182.00
16984,144.26,112.29,181.00
17011,67.54,112.29,182.00
17035,137.89,63.88,182.00
17058,137.89,93.25,182.00
17082,46.32,93.25,182.00
17105,46.32,49.85,182.00
17129,81.12,49.85,182.00
17153,81.12,75.96,182.00
17177,81.12,75.96,182.00
17201,81.12,75.96,182.00
17224,81.12,44.61,182.00
17248,22.88,44.61,182.00
17271,22.88,73.34,182.00
17295,22.88,73.34,182.00
17318,22.88,73.34,182.00
17364,22.88,38.01,182.00
17388,22.88,64.07,182.00
17412,22.88,64.07,182.00
17435,22.88,64.07,182.00
17459,22.88,64.07,182.00
17482,13.57,64.07,182.00
17509,13.57,64.07,182.00
17532,59.58,64.07,182.00
17557,130.46,64.07,182.00
17581,130.46,64.07,182.00
17604,50.03,64.07,182.00
17628,50.03,64.07,182.00
17651,79.58,64.07,182.00
17675,79.58,64.07,182.00
17698,79.58,64.07,182.00
17722,79.58,64.07,182.00
17746,31.80,64.07,182.00
17770,31.80,64.07,182.00
17794,60.18,64.07,182.00
17817,60.18,64.07,182.00
17841,60.18,64.07,182.00
17864,60.18,64.07,182.00
17888,31.07,0.00,182.00
17911,31.07,0.00,182.00
17958,81.67,5.26,182.00
17982,81.67,155.86,182.00
18013,119.58,155.86,182.00
18036,119.58,52.58,182.00
18061,63.14,90.99,182.00
18084,152.63,90.99,182.00
18108,152.63,90.99,182.00
18132,165.97,53.07,182.00
18156,165.97,109.39,182.00
18181,84.35,109.39,182.00
18204,194.70,65.42,182.00
18229,89.85,120.46,182.00
18252,193.15,72.77,182.00
18277,94.16,126.77,182.00
18300,94.16,126.77,182.00
18325,66.67,76.64,182.00
18349,66.67,132.65,182.00
18373,68.59,132.65,182.00
18397,71.17,79.19,183.00
18420,71.17,133.43,182.00
18445,70.09,78.08,183.00
18466,70.09,138.12,182.00
18491,69.90,138.12,182.00
18514,69.90,79.86,183.00
18560,142.42,77.84,182.00
18584,142.42,131.83,183.00
18608,142.42,131.83,182.00
18631,50.97,78.23,183.00
18656,50.97,114.22,183.00
18679,66.80,114.22,183.00
18703,66.80,63.84,183.00
18727,66.80,116.26,183.00
18751,66.80,116.26,183.00
18775,66.80,55.83,183.00
18799,66.80,55.83,183.00
18823,66.80,84.12,183.00
18847,66.80,84.12,183.00
18871,66.80,84.12,183.00
18894,66.80,43.92,183.00
18919,66.80,70.03,183.00
18946,66.80,70.03,182.00
18969,66.80,70.03,183.00
18994,66.80,70.03,183.00
19017,66.80,29.95,182.00
19041,66.80,29.95,183.00
19065,66.80,29.95,183.00
19089,66.80,54.81,183.00
19112,66.80,54.81,183.00
19159,66.80,35.56,183.00
19182,66.80,35.56,183.00
19207,0.00,62.03,183.00
19230,0.00,62.03,183.00
19254,0.00,62.03,183.00
19277,0.00,62.03,183.00
19301,0.00,38.31,183.00
19325,0.00,38.31,183.00
19349,0.00,67.16,183.00
19373,0.00,67.16,183.00
19396,0.00,67.16,183.00
19420,0.00,40.96,183.00
19447,0.00,86.62,183.00
19471,143.65,86.62,183.00
19495,143.65,61.20,183.00
19519,62.93,111.36,183.00
19544,123.84,111.36,183.00
19567,123.84,70.39,183.00
19592,123.84,121.38,183.00
19615,57.44,121.38,183.00
19639,112.68,75.95,183.00
19663,112.68,137.01,183.00
19688,57.15,83.86,183.00
19712,132.84,142.48,183.00
19757,54.83,150.21,183.00
19780,110.78,150.21,183.00
19804,110.78,160.29,183.00
19828,110.78,160.29,183.00
19852,58.05,94.51,183.00
19875,123.15,159.71,183.00
19900,123.15,96.09,183.00
19930,55.20,163.08,183.00
19954,138.02,92.42,183.00
19978,138.02,103.43,183.00
20001,59.36,103.43,184.00
20025,114.29,56.31,184.00
20049,114.29,56.31,183.00
20073,47.50,76.03,184.00
20097,47.50,76.03,184.00
20120,98.55,76.03,183.00
20144,98.55,76.03,183.00
20168,98.55,31.20,183.00
20192,43.19,31.20,184.00
20215,92.16,31.20,184.00
20239,92.16,36.35,184.00
20262,92.16,36.35,184.00
20286,42.28,36.35,184.00
20328,87.84,36.35,183.00
20356,87.84,36.35,183.00
20379,87.84,36.35,183.00
20407,40.20,36.35,184.00
20430,87.14,36.35,183.00
20454,87.14,36.35,184.00
20478,87.14,36.35,183.00
20502,44.92,36.35,184.00
20527,105.96,36.35,183.00
20550,105.96,36.35,184.00
20574,48.96,36.35,184.00
20598,48.96,36.35,184.00
20622,114.73,36.35,184.00
20645,114.73,36.35,184.00
20670,50.39,36.35,184.00
20694,113.26,36.35,184.00
20717,113.26,36.35,184.00
20742,58.69,5.96,184.00
20765,147.00,124.58,184.00
20790,147.00,124.58,184.00
20813,68.72,64.53,184.00
20838,170.34,103.45,184.00
20868,79.70,103.45,184.00
20911,86.93,61.33,184.00
20938,198.57,109.95,184.00
20963,88.06,65.21,184.00
20986,199.63,117.72,184.00
21010,90.46,117.72,184.00
21035,196.70,73.12,184.00
21058,88.38,120.13,184.00
21083,88.38,120.13,184.00
21106,63.39,66.99,184.00
21131,173.97,116.01,184.00
21154,173.97,116.01,184.00
21178,57.75,72.79,184.00
21202,57.75,116.19,185.00
21226,91.80,116.19,184.00
21251,91.80,56.70,184.00
21274,91.80,56.70,184.00
21299,91.80,69.96,184.00
21322,91.80,69.96,184.00
21349,91.80,69.96,184.00
21373,91.80,35.28,184.00
21397,91.80,35.28,184.00
21421,91.80,35.28,184.00
21445,91.80,47.50,184.00
21469,91.80,47.50,184.00
21514,91.80,47.50,184.00
21537,91.80,47.50,184.00
21562,91.80,26.62,184.00
21585,91.80,26.62,184.00
21609,91.80,52.29,184.00
21634,91.80,52.29,184.00
21657,91.80,52.29,184.00
21681,91.80,52.29,184.00
21705,91.80,31.79,184.00
21729,91.80,31.79,184.00
21752,91.80,54.63,184.00
21777,91.80,54.63,184.00
21800,91.80,54.63,184.00
21824,4.95,54.63,184.00
21870,91.29,85.77,184.00
21894,91.29,85.77,184.00
21917,40.72,61.01,184.00
21942,40.72,109.47,184.00
21965,104.98,109.47,184.00
21989,104.98,72.14,184.00
22013,47.73,134.92,184.00
22037,120.17,134.92,184.00
22062,120.17,146.34,184.00
22103,57.25,87.47,184.00
22130,119.16,154.42,184.00
22155,119.16,93.55,184.00
22178,58.43,163.11,185.00
22203,129.29,93.82,184.00
22226,129.29,161.67,184.00
22251,64.70,95.02,185.00
22275,136.69,164.94,184.00
22299,65.71,98.45,184.00
22323,135.77,168.62,184.00
22350,135.77,100.20,184.00
22374,62.14,181.07,184.00
22398,134.43,104.27,184.00
22422,134.43,181.82,184.00
22447,67.67,104.18,185.00
22470,152.28,176.06,184.00
22494,152.28,105.23,185.00
22518,153.81,171.51,184.00
22542,153.81,176.76,184.00
22566,67.95,176.76,185.00
22591,148.25,177.73,185.00
22615,148.25,177.73,184.00
22638,67.09,180.72,185.00
22663,159.30,106.23,185.00
22708,66.51,101.58,185.00
22731,150.36,173.65,185.00
22755,150.36,101.87,185.00
22779,142.15,172.10,185.00
22804,142.15,101.16,185.00
22831,65.69,156.84,185.00
22855,137.34,156.84,185.00
22879,137.34,59.40,185.00
22902,64.03,59.40,185.00
22927,133.45,84.16,185.00
22950,133.45,84.16,185.00
22975,58.02,84.16,185.00
22999,108.01,36.04,185.00
