tempo,rpmEsquerdo,rpmDireito,corrente
18606,37.91,126.50,508.00
18629,88.51,79.47,510.00
18674,88.51,139.12,510.00
18699,47.15,81.76,510.00
18722,107.63,135.62,510.00
18764,107.63,146.48,512.00
18788,47.07,146.48,510.00
18812,116.62,88.53,509.00
18836,116.62,145.97,509.00
18861,53.51,88.05,512.00
18884,53.51,145.60,509.00
18909,104.76,91.30,512.00
18932,104.76,145.55,510.00
18956,50.21,145.55,511.00
18980,106.38,151.27,511.00
19004,106.38,151.27,510.00
19027,106.38,89.39,510.00
19052,106.38,150.91,510.00
19076,31.48,83.67,510.00
19100,31.48,127.27,510.00
19124,31.48,127.27,509.00
19147,31.48,68.49,511.00
19172,31.48,113.19,510.00
19195,31.48,113.19,510.00
19241,31.48,101.15,510.00
19268,31.48,101.15,510.00
19293,31.48,60.56,510.00
19316,31.48,60.56,510.00
19340,31.48,99.08,510.00
19364,31.48,99.08,510.00
19388,31.48,56.34,512.00
19411,31.48,91.66,510.00
19436,31.48,91.66,510.00
19460,31.48,91.66,510.00
19483,31.48,52.41,511.00
19508,31.48,86.52,511.00
19531,31.48,86.52,510.00
19555,31.48,86.52,510.00
19579,0.00,49.93,510.00
19603,5.68,86.89,510.00
19627,5.68,86.89,511.00
19651,5.68,52.84,510.00
19675,52.85,52.84,511.00
19701,112.01,94.14,510.00
19726,112.01,94.14,509.00
19749,112.01,65.33,511.00
19773,41.30,118.82,509.00
19798,87.82,72.84,510.00
19840,87.82,129.53,509.00
19864,44.86,81.17,510.00
19888,102.73,148.08,511.00
19911,102.73,88.95,510.00
19936,102.73,156.64,510.00
19959,51.19,94.00,509.00
19984,118.43,165.89,512.00
20007,118.43,98.58,512.00
20031,55.58,166.59,509.00
20056,123.09,101.41,511.00
20079,123.09,171.19,511.00
20103,56.57,100.11,510.00
20127,132.25,165.97,510.00
20151,132.25,100.40,511.00
20178,56.93,166.37,510.00
20202,129.40,98.28,510.00
20227,129.40,160.50,509.00
20250,129.40,95.92,508.00
20274,57.75,157.73,510.00
20297,122.09,157.73,511.00
20322,122.09,163.68,509.00
20345,57.56,163.68,511.00
20370,131.07,167.30,509.00
20393,131.07,167.30,510.00
20441,141.67,161.01,510.00
20465,141.67,167.82,509.00
20489,63.51,167.82,510.00
20513,137.06,174.66,510.00
20538,66.23,174.66,510.00
20562,144.15,176.02,510.00
20586,144.15,176.02,509.00
20611,68.32,170.84,509.00
20635,143.10,102.33,509.00
20662,143.10,175.73,510.00
20686,149.88,101.31,509.00
20711,149.88,173.33,508.00
20734,68.33,100.48,510.00
20759,139.61,177.56,510.00
20784,139.61,101.93,509.00
20807,66.40,174.95,510.00
20832,144.31,101.28,510.00
20856,144.31,163.83,510.00
20880,64.93,163.83,510.00
20904,151.12,60.78,512.00
20928,151.12,87.81,508.00
20953,61.69,87.81,510.00
20977,97.23,87.81,512.00
21001,97.23,40.66,510.00
21047,35.77,40.66,510.00
21070,35.77,44.65,511.00
21095,65.27,44.65,509.00
21118,65.27,44.65,509.00
21146,65.27,44.65,510.00
21170,65.27,44.65,509.00
21194,65.27,44.65,510.00
21218,27.66,44.65,509.00
21242,27.66,44.65,510.00
21266,52.70,44.65,512.00
21291,52.70,44.65,510.00
21315,52.70,44.65,508.00
21339,52.70,44.65,510.00
21363,29.33,44.65,509.00
21387,29.33,44.65,512.00
21411,74.88,44.65,512.00
21435,74.88,44.65,510.00
21459,74.88,44.65,509.00
21483,38.47,44.65,510.00
21508,38.47,44.65,511.00
21531,96.67,44.65,510.00
21556,96.67,44.65,510.00
21579,48.16,44.65,511.00
21629,111.87,44.65,510.00
21657,51.99,0.00,509.00
21682,120.58,0.00,511.00
21705,120.58,0.00,509.00
21729,120.58,0.00,509.00
21753,56.71,0.00,509.00
21777,132.84,0.00,510.00
21801,132.84,0.00,509.00
21825,61.11,0.00,510.00
21850,143.43,0.00,509.00
21873,143.43,0.00,510.00
21898,60.47,0.00,509.00
21921,137.21,0.00,509.00
21945,63.17,0.00,512.00
21969,136.34,0.00,510.00
21993,136.34,0.00,511.00
22018,65.21,0.00,510.00
22041,148.63,0.00,510.00
22066,148.63,0.00,510.00
22089,68.39,0.00,511.00
22117,148.72,0.00,509.00
22140,148.72,0.00,510.00
22164,148.60,0.00,511.00
22189,148.60,0.00,509.00
22235,150.42,0.00,510.00
22258,150.42,0.00,510.00
22282,71.17,0.00,510.00
22306,150.69,0.00,511.00
22330,72.05,0.00,510.00
22354,154.80,0.00,511.00
22378,154.80,0.00,508.00
22403,69.52,0.00,511.00
22426,148.81,0.00,509.00
22450,148.81,0.00,511.00
22474,148.90,0.00,509.00
22499,148.90,0.00,510.00
22522,65.42,0.00,509.00
22546,146.03,0.00,511.00
22571,146.03,0.00,510.00
22594,63.33,0.00,510.00
22640,139.38,1.95,511.00
